№;Контекст;Русский;English;Español
608;updateWindow;Не выбрана версия для обновления;No version selected for update;No se ha seleccionado una versión para actualizar
609;updateWindow;Модуль интерфейса обновлён до версии ;Interface module updated to version ;Módulo de interfaz actualizado a la versión 
610;updateWindow;Ошибка обновления модуля интерфейса;Interface module update error;Error al actualizar el módulo de interfaz
611;updateWindow;Медиафайлы обновлены до версии ;Media files updated to version ;Archivos multimedia actualizados a la versión 
612;updateWindow;Ошибка обновления медиафайлов;Media files update error;Error al actualizar los archivos multimedia
613;updateWindow;Запущена передача прошивки модуля связи (;Communication module firmware transfer started (;Transferencia del firmware del módulo de comunicación iniciada (
614;updateWindow;););)
615;updateWindow;Ошибка запуска обновления COM;Failed to start COM update;Error al iniciar la actualización de COM
616;updateWindow;Запущена передача прошивки аргонового модуля (;Argon module firmware transfer started (;Transferencia del firmware del módulo de argón iniciada (
617;updateWindow;Ошибка запуска обновления ARG;Failed to start ARG update;Error al iniciar la actualización de ARG
618;updateWindow;Запущена передача прошивки модуля генератора (;Generator module firmware transfer started (;Transferencia del firmware del módulo del generador iniciada (
619;updateWindow;Ошибка запуска обновления GEN;Failed to start GEN update;Error al iniciar la actualización de GEN
620;updateWindow;Модуль интерфейса;Interface module;Módulo de interfaz
621;updateWindow;Модуль управления и связи;Communication module;Módulo de comunicación
622;updateWindow;Модуль аргоновый;Argon module;Módulo de argón
623;updateWindow;Модуль генератора;Generator;GENERADOR
624;updateWindow;Медиафайлы;Media files;Archivos multimedia
625;updateWindow;Обновление ПО;Software update;Actualización de software
626;updateWindow;Список версий: текущие на устройстве и найденные в папке releases (поддерживается релизный формат a.b-c.d-e).;Version list: current on the device and found in the releases folder (release format a.b-c.d-e is supported).;Lista de versiones: actuales en el dispositivo y encontradas en la carpeta releases (se admite el formato de versión a.b-c.d-e).
627;updateWindow;Если выбрана версия релиза a.b-c.d-e, для интерфейса применяется a.b, для медиа — c.d.;If release version a.b-c.d-e is selected, a.b is applied to the interface and c.d to the media.;Si se selecciona la versión a.b-c.d-e, se aplica a.b a la interfaz y c.d a los archivos multimedia.
628;updateWindow;Модуль;Module;Módulo
629;updateWindow;Текущая;Current;Actual
630;updateWindow;В releases;In releases;En releases
631;updateWindow;нет версий;no versions;sin versiones
632;updateWindow;Обновить;Refresh;Actualizar
633;updateWindow;Обновить всё до последних версии;Update everything to the latest versions;Actualizar todo a las últimas versiones
634;updateWindow;Перезапуск;Restart;Reiniciar
635;updateWindow;В одном или нескольких модулях отсутствует рабочая прошивка.;One or more modules have no working firmware.;Uno o varios módulos no tienen firmware operativo.
636;updateWindow;Передача прошивки МК: ;MCU firmware transfer: ;Transferencia de firmware del MCU: 
637;updateWindow;%;%;%
638;updateWindow;Изменения вступят в силу после перезагрузки.;Changes will take effect after a restart.;Los cambios surtirán efecto tras el reinicio.
639;updateWindow;Назад;back;atrás
